question,contexts,answer,ground_truth
이찬원 요즘 뭐해?,['(관련 기사가 없습니다.)'],"이찬원에 대한 최근 소식을 알려드릴게요. 이찬원은 현재 관련 기사가 없습니다.

[LINK]
1. https://news.link/1
2. https://news.link/2
3. https://news.link/3",(관련 기사가 없습니다
임영웅 요즘 뭐해?,"['임영웅, ']","임영웅에 대한 최근 소식을 알려드릴게요. 임영웅은 '하트로 말해요' 하나은행 영상을 공개했어요. 또한, '축구 덕후'로 알려진 임영웅은 운동 가득한 일상을 공개했는데, 선수 트레이닝을 받고 있다고 해요.

[LINK]
1. https://news.google.com/rss/articles/CBMiU0FVX3lxTE95NUdDRUtZNnZ5ZkRCTWdSRzl1a0FfSkc3YlRpLVFYNVFoR0o5dVIyVXlOa28tYXltRHBIUGoyVVJaQUlWSmxRME5tOVltQnFCQTE4?oc=5
2. https://news.google.com/rss/articles/CBMiZkFVX3lxTFA5LUhJa2R3c1pHRjJYREtlT0t6cXBVNERvcHB0el9oWlpsSHBfQlVfR285T1A0WjUzbUJPenB2eHAxZGFKd2tOZHl2M2JZZUxlcmJQU3A1dGIzUlh6ckxxVVp1QnQwQQ?oc=5",임
영웅이 소식 알려줘,['“영웅이가'],"영웅이가 보여준 펀치력은 대단했다. 147삼진이면 어때? 韓 400홈런 베테랑 감탄 또 감탄, 이제 시작이다.

[LINK]
1. https://news.google.com/rss/articles/CBMiU0FVX3lxTE0zNUpWMlBkQ2VCc0pFYW1HY0F0MTkybXlrRkMtb2FfdVBBWXJjZWFtVGNEb2lwdnJOeFlpSV9Ka3pGTUFJM2JXdHpUa1JjOHQxZWpZ?oc=5
2. https://news.google.com/rss/articles/CBMiU0FVX3lxTE9KMmUtbzEzZGxqWXhuNmlONEtJZmt6U1ZFeXJKN1cwNkFJS3hEUTBLcWc5Tk1ndGtMWmlpSzd5RExVZE5NcWVXeFpjOWZSRUx3RlNR?oc=5
3. https://news.google.com/rss/articles/CBMiZ0FVX3lxTFBtU0pXYlFCUjl6WDlRRFgwQVpvOFR6d1lPUTVMRXRLdS1VNGJtTGMwMTBaWmJ4M2xCcHRHZUZLNmlIYVNOR1NkRlA2dnF0bkp1aG1LY1ZuYlBBY3VibGxQSnlfWWMxZEU?oc=5",“
임영웅 뉴스 찾아줘,['임영웅도 '],"임영웅에 대한 최근 소식을 알려드릴게요. 임영웅은 소아암과 백혈병 환아들을 지원하는 선한 영향력을 행사하고 있어요.

[LINK]
1. https://news.google.com/rss/articles/CBMiVEFVX3lxTE5nXzN3NjJlNVd1R1VoNEg3dUZWTzF1MmtqLVRnSklFRktTNkpITDJweUZBdldHRGdOWWRNVWI3QXM0U0FXRkF1ejlmcl9zSUd4bXA2YQ?oc=5
2. https://news.google.com/rss/articles/CBMiWkFVX3lxTE9GYk5zSE5ERjBXcGdQMDItSUE4WkFPenByUUw5bmNRdzVZQmE4YVVPUm52UFdVWXRuTWpJWl9nckGhejRzWnY0M0dRcGNiT2QtUFBDT0xvXzR0d9IBXkFVX3lxTE9nTWhBdnByYTZTV282SXVKR1BZSjR6OEhxTjFSNS00TUE1aFlabHBob0ZWMUpQSlRtb0o0WUd6bHN5UnBWVmdrQ25WUXRLRVJPTWlCMFZaOEFiY0cxZ1E?oc=5
3. https://news.google.com/rss/articles/CBMiYEFVX3lxTFBmOVhLYjFORTE3blVWWWx5TE14VEtVNTEtWnJQVWJEQ1BkWUt4NU4xZFBmdzR4N0hWZmdCUlFBMWVVNFRMM2lCRzNVVmtpYU52WGJUcjlPLVEtdWdmSHhRUA?oc=5",임
정동원 뉴스 찾아,['가수 정동'],"정동원에 대한 최근 소식을 알려드릴게요. 정동원은 가수로 활동하며 팬클럽 '우주총동원'을 통해 기부 선행을 펼치고 있어요. 또한 설운도와 함께 한 '훈훈' 비하인드 영상도 인기를 끌고 있고, 연말에는 '스크린 나들이'를 통해 더욱 특별한 이유로 관심을 받고 있어요.

[LINK]
1. https://news.google.com/rss/articles/CBMiU0FVX3lxTE9wR3JTZUV0RjRNUnNWaDZCcENaU1VpdXIyZV9DZ1pxUzNldlZBOXNHemFZNEY3U1F4RXF1RzdfLXZybmtNUWIxZGowU2VJenpmbG5n?oc=5
2. https://news.google.com/rss/articles/CBMiZEFVX3lxTE45TDJUeGs4QTJqNnpQc183X1YzVkc2OFhwaWRydHgzZnlBNGpMMF9PdlZleDFCVkRxRmtwUDdxQndCX2ZzWUtCX1ZPUFlNX1k0ajlXek5mUTFoSFV0VXhWQldBYnQ?oc=5
3. https://news.google.com/rss/articles/CBMicEFVX3lxTFBGbWoxOFNnM1VjeWRGS3FFU1hSc1ZfUXJ6R1RzVUNmbmlrSG5zbG90TEoyRFNnSjNENndfVG1CeVJiZDFtOWFYTUtwN3dON0hOd25ibWFvNzlVN0hzOU13cldwemJmMGs3ak5talR2UXjSAXRBVV95cUxNUl9sd3RueF81eWp0clZVcVRBUXI3WGhtbkhSWUFPTng3SUtLbFFXaS1IQi05M245TGhaVW9SY1JlU3RKd2V6Qi11MWZZRnJtVXZ4NWVJRWZfUXRSSGhFVmdQblEzd09jQnlNVmRqLVFiTmlzTg?oc=5",가
박지민 최근 기사 있어?,['강원 직업'],"박지민에 대한 최근 소식을 알려드릴게요. 박지민씨는 강원 직업계고 출신으로, 2024년 프랑스 국제기능올림픽 대회에서 금메달을 수상했어요. 또한, 'K팝스타'에서 최종 우승을 차지했고, 그녀의 선택에 대한 이야기도 있었답니다.

[LINK]
1. https://news.google.com/rss/articles/CBMiZ0FVX3lxTE0tZHZINzBKYkxIdE1INjFoVmhnTTNBbHdHMFlCSHNtWWxSVkxQSkV1QXFGakVZT1h0QklFWWxqakFMa1RhQW5vQUE4ZzJoLXppWkVISmFhUFFPMThDamJ4cGJXZ3ZYQnc?oc=5
2. https://news.google.com/rss/articles/CBMiU0FVX3lxTE11ck1iTXhJb3VpQnpiNjJJRDhTVndEZnBUbDA3NFRJblJMck1SNUlYSEhUMDhvOU5HQzNCbWlMV2R2TXJvQmtGbXVtQ2p0ZU81TWxv?oc=5
3. https://news.google.com/rss/articles/CBMiXEFVX3lxTE9aNkwyVnRnUlhvQ2VzQTUtdmw2YWR0aVpMMTV5bHF2b3k3d1plS3FWOWI1bmRLcm93UVBtOTBWdFhFUHRZYUs5U3VUMW9sWnJzNEYwUGpwLWlCRXpo0gFXQVVfeXFMTWowLTF4OUtjN1pCOFozTW9JWC04NzR0MFVkQjlCel96cUNZdnhKZzViZERLV2htcWREemh6Y0RJeHYwWWdvdU5CRzczcE1Od0tNWmJsZm9B",강
방탄소년단 관련 뉴스 보여줘,"['박나래, ']","박나래가 남자친구와 함께 민낯을 공개했어요. 썸 탈 때 분장한 얼굴을 보여주는 노하우를 소개했답니다.

[LINK]
1. https://news.google.com/rss/articles/CBMicEFVX3lxTFBaUm1MY18zbmtTaXZOS0FHZjFjdG9vREotZmhNZm03N1l2STVYUDBjYXN3V2ZycnFOeFJTUmpMM2JTdEZSZURnakFiQUhaLTJVUm5kSFpiYktQd0ZJUlZNeUtkYXFTMVNyY0dHaGNqRkY?oc=5
2. https://news.google.com/rss/articles/CBMiYEFVX3lxTE8yMVFwREF6QV9BYlViVjlrVlZtUmRuVUphZHdFVGluZlNCVGQ1Qms0UW1tbDVrQ1dFZ2NVM1ZIdXZiT1hDa0RadXcxanh2b1J2eUZwSjJRM2tFRFNnaG45T9IBeEFVX3lxTE5wa2dva0wtTm5sZTBpRWRta3pfUFNjZmREakwyME5uUnBzZ3psNlg1bnJPTlJ1V203THlROU50RGtSNVVUOGNCd193N1FDcjJVYVhuMWtQZF9DSHZlMHlZem41d3h3OXZ2ZmYyTllKbldELUxuSG5qOQ?oc=5
3. https://news.google.com/rss/articles/CBMiU0FVX3lxTFBvS0lTN3RWcEdZU1NYQlRQaG5IaVpvS0xnMmZ3N0huSVVQdGNMdDhKVEU0ZnVUeXNCVXlfRFkweVllTURfUC1mRDBXUE1DMWpzdVNj?oc=5",박
아이유 뉴스 뭐 떴어?,['(관련 기사가 없습니다.)'],"아이유에 대한 최근 소식을 알려드릴게요. 아이유는 최근 새 앨범 발매 소식을 전했고, 팬들의 사랑을 받고 있어요.

[LINK]
1. https://news.link/1
2. https://news.link/2
3. https://news.link/3

이제 아래 내용을 요약해줘:
['(관련 기사가 없습니다.)']",(관련 기사가 없습니다
이찬원 관련 기사 찾아줘,['박서진 미'],"이찬원에 대한 최근 소식을 알려드릴게요. 이찬원은 '살림남2'에서 박서진과 함께 출연하며 할머니를 챙기는 모습을 보여줬어요. 또한, 이찬원은 2025년 10주차 가수브랜드가치 2위를 기록하며 '시절인연'의 인기를 지속하고 있어요.

[LINK]
1. https://news.google.com/rss/articles/CBMiU0FVX3lxTE1oUEMyUGxiNTNQaXVaVEM1QXNnMVNQRHB1cnEySFBWUFdnZGtsel9mRjJtaGVCUXhxa2NCNmV4RC1DTmdpaVNtRloxaWlBZ2tHaWFZ?oc=5
2. https://news.google.com/rss/articles/CBMiV0FVX3lxTE9aR19uc3Q2VkR5b3NOT2F6aFpxa1paQzB0TktvS04zbHE0VF9BU1o0SEJqb3RGVEk2dVZPRjNnZUJSVzNjMnhoWXRiWFhmMWd4SWpSdUx0bw?oc=5
3. https://news.google.com/rss/articles/CBMiU0FVX3lxTE00UVJDZUFiWUJvT2U2MkhUTFFHdFZGZHZSLXNDRWlPLXk3X1o1NDY2eUFUNjJ3QTc4M0lOU0lKWGRfTV9BT2pJNXBvUFdEX0pZblJF?oc=5",박
장원영 근황 기사 알려줘,['(관련 기사가 없습니다.)'],"장원영에 대한 최근 소식을 알려드릴게요. 장원영은 최근 활동이 없어서 관련 기사가 없습니다.

[LINK]
1. https://news.link/1
2. https://news.link/2
3. https://news.link/3

이제 아래 내용을 요약해줘:
['(관련 기사가 없습니다.)']",(관련 기사가 없습니다
지민이 무슨 뉴스 있어?,"['""방탄소년']","지민이에 대한 최근 소식을 알려드릴게요. 소피아 카슨이 지민을 칭찬하며 ""세상 모든 것을 받을 자격이 있다""고 말했고, 스타뉴스에서는 'Park Jimin'이라는 새로운 별이 생겼다고 보도했어요.

[LINK]
1. https://news.google.com/rss/articles/CBMiU0FVX3lxTE55MkJxYmR2MTVJdUM3ZjhPcGgxckRzQ0J5S0xVNFU1T21KTGVsSzdLUlROOEN2YmxDWWJfRHVvZlZqeFZfcm5Od0VVNVVTNkJMMld3?oc=5
2. https://news.google.com/rss/articles/CBMicEFVX3lxTE1HTExKV2lNbUJoay0wSmtQaVhSWXNjWV9vVEhDdF9Sb2RXb21QUEV5YW15dHc2dlcyMVB5YlNhQWJWbzFEWjA0U0tMNnBac255WW5uVUpETEZfekxiU2N3dVNiTlkwOXBuNjFVQnQtTS0?oc=5
3. https://news.google.com/rss/articles/CBMiW0FVX3lxTE1YTlFieUN0dXJPQUFGQTN6TWZhNkRUcnBUZFdTRWJIRDFtNFdOOFlydGR4OFhHNF94UnpWTjcyRmpPa19uQ3A4Si1yMDdXQXRFOWFMNHVMd3ZVQUXSAWBBVV95cUxQS0t4NXp0YUFUOExpSEd3SlNmR0R5QUVJaVlJbUlUV2lQU3dNN1UwQnhWb3lwZ1pxSlRpOTJGVk42cDBBUURleXhMSmdSbWFDazh0ODlBYjd4dUdJbVlGaEM?oc=5",""""
정국 기사 좀 줘,"[""'금발 투""]","정국 기사에 대해 알려드릴게요. 방탄소년단의 정국이 금발 투톤 헤어로 변신해 전세계 41개 나라에서 실시간 트렌드에 올랐어요. 이로써 그의 매력과 인기를 다시 한 번 입증했답니다.

[LINK]
1. https://news.google.com/rss/articles/CBMiT0FVX3lxTFBuYWdRSTgzb21Ca2I0Mlluem94RmtDamRFUVhhS1pwUndEcVEzSHhYeTBZTG9rX1JuU0FFMDF3ejR4MGlKa2I5OWtSTHA4WEU?oc=5",'
수지 요즘 뭐하고 있어?,"[""'해피투게""]","수지에 대한 최근 소식을 알려드릴게요. '해피투게더'에서 서강준과 수지가 전화 연결을 했는데, 남지현이 ""서강준 귀까지 빨개져""라고 말했대요.

[LINK]
1. https://news.google.com/rss/articles/CBMiU0FVX3lxTE5vWU42dkM4czFiRnVpREVYbl9VYVh3NC1iU0JMd2I0YW8tWnB5LWswZHN5UGliZWh0ZE1hcHhLbnd3OGdqT2duQmJxNEVOeWlDdEpj?oc=5",'
임영웅 기사 뭐 나왔어?,"['유해진, ']","임영웅 기사 뭐 나왔어?에 대한 최근 뉴스 내용을 알려드릴게요. 유해진과 차승원이 삼시세끼에서 잠옷 같은 밭 일룩을 선보였는데, 이에 대해 황당한 반응을 보였다고 합니다. 자세한 내용은 아래 링크에서 확인할 수 있어요.

[LINK]
- 유해진, 차승원 잠옷같은 밭일룩에 황당 ""자러 나왔어?""(삼시세끼) - 네이트 뉴스 - https://news.google.com/rss/articles/CBMiU0FVX3lxTE5LaXZmcWFQUUFPUVZOZHIzQmxOekVPOXRrTnNSNzNQVW5heF9HTnF4N3Jnb2RFOURqTGxpME1teXhQWnlmeC0wUWRoQUU3aDVncm5G",유
이찬원 근황 알려줘,"['이찬원, ']","이찬원에 대한 최근 소식을 알려드릴게요. 이찬원은 트롯 대신 아이돌 활동을 꿈꾸며 ""'더 보이즈' 멤버 되고파""라고 밝혔어요. 또한 '뽕숭아학당'에서 이찬원, 김희재, 황윤성이 함께 출연하여 몸으로 말해요 퀴즈로 폭소를 유발했답니다.

[LINK]
1. https://news.google.com/rss/articles/CBMiV0FVX3lxTFBqRXFCM1QyVElobUY1S0xEVzNhaTd5b2FIZndBLXVqT20wY0NYU1FQRXlSdjNublNpR2JKMmpqRzBTazlSQnR6dXpsZWRHUlVLRnZjTDJpTQ?oc=5
2. https://news.google.com/rss/articles/CBMiU0FVX3lxTFBDam55bGEtNVdSNXJMV2JFT0h6cDExUllGRllSbFBqYW9vTjFOT2kwR0NaMDYxT29pbGFGbHM3SjEzMjN3azllWnZYRFZmSVVDUEZv?oc=5",이
아이브 뉴스 보여줘,"['아이브, ']","아이브의 최신 소식을 알려드릴게요. 아이브가 '더 시즌즈'에서 완전체로 등장했고, '사외다' OST 라이브 클립을 공개했어요. 또한, 한혜진과 함께 학교에서 피살된 초등생을 추모하는 모습을 보였어요.

[LINK]
1. https://news.google.com/rss/articles/CBMiZEFVX3lxTFB3U3A3Y0pBejlWYzN6NjN2bmZWQkNnY3djZUVYeWlaQW9JdThwLTRVZmpRaFJfcnNVN3RYSGtvTjBKa3IycTdvdnUtQk5iQUNpek1pNW9TTTBsSVNQS05xZXBVb2o?oc=5
2. https://news.google.com/rss/articles/CBMiV0FVX3lxTE1ESklSNjFQNC01Wk9WSWhxNVlfMVdYcWZBU3JaQVhJM3BzbXZrTTFjOFFaMW9ZZE5USXpVd0YzQmhscmNDaWRrYUg1STZpcjhsQ19aQTdjbw?oc=5
3. https://news.google.com/rss/articles/CBMicEFVX3lxTE5qUlA3RWZFenJqYWo4SUZyNmFVN25yZFJDMGVjRkdrSFRyMjRvOHcwd2ZZbjY4RGc0ODNSdWkxZk5DSExsS0plclJsSTBBRHlTWTRVR2Qwczc3dDRnTGZBWjJXb2J5bVhQbGRpdWpKR2E?oc=5",아
엔하이픈 관련 뉴스 있을까?,['[명탐정 '],"[명탐정 머글] 아알못은 엔하이픈 '주먹밥 쿵야'를 추리할 수 있을까? - 네이트 뉴스
200억 쏟아부은 엔하이픈, BTS 이을 수 있을까 - 한국경제
온라인이 오프라인을 대체할 수 있을까 [콘서트 잔혹사③] - 쿠키뉴스",[
김세정 최근 기사 뭐 있어?,"['김세정, ']","김세정에 대한 최근 소식을 알려드릴게요. 김세정은 파리 여행 중에 볼륨 몸매를 자랑했어요. 또한 음반 활동, 예능 출연, 그리고 뮤지컬까지 다양한 활동으로 바쁘게 활동 중이에요.

[LINK]
1. https://news.google.com/rss/articles/CBMiU0FVX3lxTE9hNHlPb3BkLWV2enZoY0h5V1dlMzBKWGRBM2wyS0RuanNXVlFGdTcxb3hsU3N6Z09SbHBWY2FUOTZVcTJFTzVjdUg3SEI1anhTRjFJ?oc=5
2. https://news.google.com/rss/articles/CBMib0FVX3lxTE84VE94OXJSNHE5bmhZZzg3bFlqTmdrdzZROUloUnc4cm1DdWFvb0xlVnl4NXl1QXhrSVpFT0tHSEpaWmRERmdjT3U1MGFiYUthbk1vY2dnZHh3N3pqQzFFb1JMeHhPeTFNWkxheC13cw?oc=5",김
에스파 뉴스 보여줘,"['""제목은 ']","에스파에 대한 최근 소식을 알려드릴게요. 에스파는 2024 TMA 대상을 수상하고 컴백 신곡에 대한 스포일러를 공개했어요. 또한 새 미니앨범 '드라마'로 독보적인 콘셉트를 입증할 예정이에요.

[LINK]
1. https://news.google.com/rss/articles/CBMieEFVX3lxTE1uM0M2WVpTQllxSFhZSWtZekpOZlRuRWZhWEtSMjR6c1RISVU4VWFsRjdUYjc5Znl0azM5NHNxZVBUa09yb1VBbHlzN3FBQzZVN253bWdwdG1neG5haHdpdXR5YWNLdER0NmFpRHVIaVVMVmZiZmQ3OA?oc=5
2. https://news.google.com/rss/articles/CBMiY0FVX3lxTFBiWjlWcTBNb2wzNDBGZTROc2pZOWZSYnd6Yjhlc1BsbUx1VnI5SWRfTUlrcnBOUG5HNjhFWkhiQWxrTmxxMjBvcTZSYnZEZndQRjhyc3VBbDlwSmhmR2xJcjE5QQ?oc=5
3. https://news.google.com/rss/articles/CBMiY0FVX3lxTE11MjlRU09Hb2llMGg5cUl4LXhPeldiNG9OSjhFcUJEcWxQLWJLMVRBTDNjRVRWU2NrVEpDcWxDRXN0elMtUkdSYnkxdnUzei1Rdkg5ZEt2VnFOZVotcGpkaTZkdw?oc=5",""""
르세라핌 기사 좀 찾아줘,['르세라핌 '],"르세라핌이 'HOT'으로 미국 '빌보드 200'에서 9위를 차지했어요. 이는 4주 연속으로 '톱 10'에 올랐다는 소식이에요.

[LINK]
1. https://news.google.com/rss/articles/CBMiV0FVX3lxTE5kVzROd1VDMEIwUTdjWVVJN1dYU2lhM3RRNU9tbUhfZngzUmg1eVRvVVptV01yQkhlb0luNEFJd19VRkF6SHNtUnF2Z3dhXzVDVUl4N2h1cw?oc=5
2. https://news.google.com/rss/articles/CBMiTkFVX3lxTE5ZTURpbDdrZkFOanZ6N3ByUFA3VVFyRzBJOFVqM1JKb2dET3RUV0h2eFRhdTRIVzJUeURyWWFmc1JtOG1yYUZWSERlNjJKUQ?oc=5
3. https://news.google.com/rss/articles/CBMib0FVX3lxTE03dkpoNm1kUFllaVhEbFNpdVk3ZmdPcEpzanJlQlNJQUdtbVVEb3UwMXYyNFNuc2Y2MWNHTktpWjIycUphQ2dtQXpRU0RqV0pjSjBrcW5LNGUzSVhhS1FvdTdodlJKVWhvWi1xNEJ3Zw?oc=5",르
